Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-04-23 16:29:00+05:30,,,
2026-01-14 16:29:00+05:30,,,
2025-10-13 16:29:00+05:30,,,
2025-07-17 16:29:00+05:30,,,
2025-04-25 20:01:00+05:30,16.9,14.34,-15.14
2025-01-16 19:27:00+05:30,16.94,13.7,-19.15
2024-10-14 19:01:00+05:30,13.17,12.24,-7.03
2024-07-19 19:21:00+05:30,23.77,22.37,-5.9
2024-04-22 19:21:00+05:30,32.13,28.01,-12.82
2024-01-19 17:00:00+05:30,27.2,25.52,-6.18
2023-10-27 20:13:00+05:30,27.25,25.71,-5.65
2023-07-21 19:40:00+05:30,27.09,23.66,-12.65