,31/12/24,30/09/24,30/06/24,31/03/24,31/12/23,30/09/23
Tax Effect Of Unusual Items,0,0,0,0,0,
Tax Rate For Calcs,0.238767,0.237089,0.249032,0.236413,0.245616,
Normalized EBITDA,3.4822E+11,3.1054E+11,2.9152E+11,3.2235E+11,3.1622E+11,
Net Income From Continuing Operation Net Minority Interest,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Reconciled Cost Of Revenue,1.6614E+12,1.65782E+12,1.67054E+12,2.05457E+12,1.60405E+12,
EBITDA,3.4822E+11,3.1054E+11,2.9152E+11,3.2235E+11,3.1622E+11,
EBIT,3.4822E+11,3.1054E+11,2.9152E+11,3.2235E+11,3.1622E+11,
Net Interest Income,-61790000000,-60170000000,-59180000000,61670000000,-57890000000,
Interest Expense,61790000000,60170000000,59180000000,44150000000,57890000000,
Normalized Income,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Net Income From Continuing And Discontinued Operation,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Total Expenses,2.09378E+12,2.05357E+12,2.06615E+12,2.07321E+12,1.97333E+12,
Diluted Average Shares,13532846715,13531862745,13534197586,,13530564263,13530921820
Basic Average Shares,13532846715,13531862745,13534197586,,13530564263,13530921820
Diluted EPS,13.7,12.24,11.185,,12.76,12.855
Basic EPS,13.7,12.24,11.185,,12.76,12.855
Diluted NI Availto Com Stockholders,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Net Income Common Stockholders,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Otherunder Preferred Stock Dividend,0,0,0,0,0,
Net Income,1.854E+11,1.6563E+11,1.5138E+11,1.8951E+11,1.7265E+11,
Minority Interests,-33900000000,-27600000000,-23070000000,-22920000000,-23760000000,
Net Income Including Noncontrolling Interests,2.193E+11,1.9323E+11,1.7445E+11,2.1243E+11,1.9641E+11,
Net Income Discontinuous Operations,,,,0,0,0
Net Income Continuous Operations,2.193E+11,1.9323E+11,1.7445E+11,2.1243E+11,1.9641E+11,
Tax Provision,68390000000,59360000000,57860000000,65770000000,63450000000,
Pretax Income,2.8643E+11,2.5037E+11,2.3234E+11,2.782E+11,2.5833E+11,
Other Non Operating Income Expenses,42140000000,48760000000,39830000000,-82210000000,38690000000,
Net Non Operating Interest Income Expense,-61790000000,-60170000000,-59180000000,61670000000,-57890000000,
Interest Expense Non Operating,61790000000,60170000000,59180000000,44150000000,57890000000,
Operating Income,3.0608E+11,2.6178E+11,2.5169E+11,2.9212E+11,2.7753E+11,
Operating Expense,4.3238E+11,3.9575E+11,3.9561E+11,18640000000,3.6928E+11,
Other Operating Expenses,3.6083E+11,3.2926E+11,3.249E+11,-4.1029E+11,3.0615E+11,
Gross Profit,7.3846E+11,6.5753E+11,6.473E+11,3.1076E+11,6.4681E+11,
Cost Of Revenue,1.6614E+12,1.65782E+12,1.67054E+12,2.05457E+12,1.60405E+12,
Total Revenue,2.39986E+12,2.31535E+12,2.31784E+12,2.36533E+12,2.25086E+12,
Operating Revenue,2.39986E+12,2.31535E+12,2.31784E+12,2.36533E+12,2.25086E+12,